concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 3";"Passeio";961,00;1,50;1441,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"8 (Itatiaiuçu)";"N/I";"Categoria 5";"Passeio";98,00;2,00;196,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"8 (Itatiaiuçu)";"N/I";"Categoria 2";"Comercial";18611,00;2,00;37222,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"8 (Itatiaiuçu)";"N/I";"Categoria 4";"Comercial";41173,00;3,00;123519,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"8 (Itatiaiuçu)";"N/I";"Categoria 6";"Comercial";11475,00;4,00;45900,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"8 (Itatiaiuçu)";"N/I";"Categoria 7";"Comercial";25842,00;5,00;129210,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"8 (Itatiaiuçu)";"N/I";"Categoria 8";"Comercial";25950,00;6,00;155700,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"8 (Itatiaiuçu)";"N/I";"Outros";"Comercial";6742,00;6,00;40452,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"8 (Itatiaiuçu)";"N/I";"Categoria 9";"Moto";3037,00;0,50;1518,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"8 (Itatiaiuçu)";"N/I";"Categoria 1";"Passeio";151258,00;1,00;151258,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"8 (Itatiaiuçu)";"N/I";"Categoria 3";"Passeio";845,00;1,50;1267,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"8 (Itatiaiuçu)";"N/I";"Categoria 5";"Passeio";95,00;2,00;190,00
"AUTOPISTA FERNÃO DIAS";"01/02/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 2";"Comercial";51092,00;2,00;102184,00
"AUTOPISTA FERNÃO DIAS";"01/02/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 4";"Comercial";54345,00;3,00;163035,00
"AUTOPISTA FERNÃO DIAS";"01/02/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 6";"Comercial";8889,00;4,00;35556,00
"AUTOPISTA FERNÃO DIAS";"01/02/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 7";"Comercial";26606,00;5,00;133030,00
"AUTOPISTA FERNÃO DIAS";"01/02/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 8";"Comercial";21030,00;6,00;126180,00
